Tier,Technology,Architecture,Value
B/S1:1.75,.NET,Monolit,3.55283
B/S1:1.75,.NET,Monolit,3.55838
B/S1:1.75,.NET,Monolit,3.55762
B/S1:1.75,.NET,Monolit,3.55757
B/S1:1.75,.NET,Monolit,3.55605
B/S1:1.75,.NET,Monolit,3.55609
B/S1:1.75,.NET,Monolit,3.55611
B/S1:1.75,.NET,Monolit,3.55618
B/S1:1.75,.NET,Monolit,3.5562
B/S1:1.75,.NET,Monolit,3.55618
B/S1:1.75,.NET,Monolit,3.5562
B/S1:1.75,.NET,Monolit,3.55625
B/S1:1.75,.NET,Monolit,3.5563
B/S1:1.75,.NET,Monolit,3.55614
B/S1:1.75,.NET,Monolit,3.55777
B/S1:1.75,.NET,Monolit,3.55779
B/S1:1.75,.NET,Monolit,3.55773
B/S1:1.75,.NET,Monolit,3.55693
B/S1:1.75,.NET,Monolit,3.55682
B/S1:1.75,.NET,Monolit,3.55514
B/S1:1.75,Java,Monolit,2.91984
B/S1:1.75,Java,Monolit,2.92868
B/S1:1.75,Java,Monolit,2.92876
B/S1:1.75,Java,Monolit,2.92557
B/S1:1.75,Java,Monolit,2.92599
B/S1:1.75,Java,Monolit,2.92596
B/S1:1.75,Java,Monolit,2.92594
B/S1:1.75,Java,Monolit,2.92594
B/S1:1.75,Java,Monolit,2.92595
B/S1:1.75,Java,Monolit,2.92948
B/S1:1.75,Java,Monolit,2.92614
B/S1:1.75,Java,Monolit,2.9266
B/S1:1.75,Java,Monolit,2.92716
B/S1:1.75,Java,Monolit,2.92387
B/S1:1.75,Java,Monolit,2.92391
B/S1:1.75,Java,Monolit,2.924
B/S1:1.75,Java,Monolit,2.92403
B/S1:1.75,Java,Monolit,2.92405
B/S1:1.75,Java,Monolit,2.92407
B/S1:1.75,Java,Monolit,2.92545
S2:3.5,Java,Monolit,3.62102
S2:3.5,Java,Monolit,3.63133
S2:3.5,Java,Monolit,3.63142
S2:3.5,Java,Monolit,3.63084
S2:3.5,Java,Monolit,3.63178
S2:3.5,Java,Monolit,3.64176
S2:3.5,Java,Monolit,3.63176
S2:3.5,Java,Monolit,3.62846
S2:3.5,Java,Monolit,3.62851
S2:3.5,Java,Monolit,3.63238
S2:3.5,Java,Monolit,3.63243
S2:3.5,Java,Monolit,3.64247
S2:3.5,Java,Monolit,3.63247
S2:3.5,Java,Monolit,3.6335
S2:3.5,Java,Monolit,3.63254
S2:3.5,Java,Monolit,3.63252
S2:3.5,Java,Monolit,3.64251
S2:3.5,Java,Monolit,3.63205
S2:3.5,Java,Monolit,3.64361
S2:3.5,Java,Monolit,3.6437
S4:7,Java,Monolit,3.6544
S4:7,Java,Monolit,3.65451
S4:7,Java,Monolit,3.65686
S4:7,Java,Monolit,3.66132
S4:7,Java,Monolit,3.66182
S4:7,Java,Monolit,3.66092
S4:7,Java,Monolit,3.66122
S4:7,Java,Monolit,3.66198
S4:7,Java,Monolit,3.66186
S4:7,Java,Monolit,3.66712
S4:7,Java,Monolit,3.66405
S4:7,Java,Monolit,3.67089
S4:7,Java,Monolit,3.67183
S4:7,Java,Monolit,3.67279
S4:7,Java,Monolit,3.67281
S4:7,Java,Monolit,3.67371
S4:7,Java,Monolit,3.67465
S4:7,Java,Monolit,3.67256
S4:7,Java,Monolit,3.66116
S4:7,Java,Monolit,3.66112
S2:3.5,.NET,Monolit,3.69159
S2:3.5,.NET,Monolit,3.69557
S2:3.5,.NET,Monolit,3.6949
S2:3.5,.NET,Monolit,3.6941
S2:3.5,.NET,Monolit,3.69362
S2:3.5,.NET,Monolit,3.69368
S2:3.5,.NET,Monolit,3.69385
S2:3.5,.NET,Monolit,3.69386
S2:3.5,.NET,Monolit,3.69398
S2:3.5,.NET,Monolit,3.69224
S2:3.5,.NET,Monolit,3.6922
S2:3.5,.NET,Monolit,3.69216
S2:3.5,.NET,Monolit,3.6921
S2:3.5,.NET,Monolit,3.69206
S2:3.5,.NET,Monolit,3.69202
S2:3.5,.NET,Monolit,3.68624
S2:3.5,.NET,Monolit,3.68908
S2:3.5,.NET,Monolit,3.67898
S2:3.5,.NET,Monolit,3.68925
S2:3.5,.NET,Monolit,3.6892
