Tier,Technology,Architecture,Value
B/S1:1.75,.NET,Monolith,0.03363
B/S1:1.75,.NET,Monolith,0.0336
B/S1:1.75,.NET,Monolith,0.03355
B/S1:1.75,.NET,Monolith,0.03354
B/S1:1.75,.NET,Monolith,0.03347
B/S1:1.75,.NET,Monolith,0.03351
B/S1:1.75,.NET,Monolith,0.0335
B/S1:1.75,.NET,Monolith,0.03359
B/S1:1.75,.NET,Monolith,0.03353
B/S1:1.75,.NET,Monolith,0.03354
B/S1:1.75,.NET,Monolith,0.03357
B/S1:1.75,.NET,Monolith,0.03344
B/S1:1.75,.NET,Monolith,0.03349
B/S1:1.75,.NET,Monolith,0.03349
B/S1:1.75,.NET,Monolith,0.03346
B/S1:1.75,.NET,Monolith,0.03347
B/S1:1.75,.NET,Monolith,0.03357
B/S1:1.75,.NET,Monolith,0.03365
B/S1:1.75,.NET,Monolith,0.03374
B/S1:1.75,.NET,Monolith,0.03388
B/S1:1.75,Java,Monolith,0.04991
B/S1:1.75,Java,Monolith,0.04995
B/S1:1.75,Java,Monolith,0.05
B/S1:1.75,Java,Monolith,0.05002
B/S1:1.75,Java,Monolith,0.05005
B/S1:1.75,Java,Monolith,0.05009
B/S1:1.75,Java,Monolith,0.05012
B/S1:1.75,Java,Monolith,0.05015
B/S1:1.75,Java,Monolith,0.05018
B/S1:1.75,Java,Monolith,0.05021
B/S1:1.75,Java,Monolith,0.05024
B/S1:1.75,Java,Monolith,0.05028
B/S1:1.75,Java,Monolith,0.05028
B/S1:1.75,Java,Monolith,0.05027
B/S1:1.75,Java,Monolith,0.05026
B/S1:1.75,Java,Monolith,0.05027
B/S1:1.75,Java,Monolith,0.05028
B/S1:1.75,Java,Monolith,0.05027
B/S1:1.75,Java,Monolith,0.0503
B/S1:1.75,Java,Monolith,0.0504
S2:3.5,Java,Monolith,0.07171
S2:3.5,Java,Monolith,0.07292
S2:3.5,Java,Monolith,0.073
S2:3.5,Java,Monolith,0.07322
S2:3.5,Java,Monolith,0.07301
S2:3.5,Java,Monolith,0.07311
S2:3.5,Java,Monolith,0.07292
S2:3.5,Java,Monolith,0.07284
S2:3.5,Java,Monolith,0.07296
S2:3.5,Java,Monolith,0.07309
S2:3.5,Java,Monolith,0.07329
S2:3.5,Java,Monolith,0.0735
S2:3.5,Java,Monolith,0.07372
S2:3.5,Java,Monolith,0.07394
S2:3.5,Java,Monolith,0.07417
S2:3.5,Java,Monolith,0.07443
S2:3.5,Java,Monolith,0.07452
S2:3.5,Java,Monolith,0.07504
S2:3.5,Java,Monolith,0.07521
S2:3.5,Java,Monolith,0.07551
S4:7,Java,Monolith,0.18302
S4:7,Java,Monolith,0.18388
S4:7,Java,Monolith,0.18397
S4:7,Java,Monolith,0.18429
S4:7,Java,Monolith,0.18439
S4:7,Java,Monolith,0.18444
S4:7,Java,Monolith,0.18411
S4:7,Java,Monolith,0.18448
S4:7,Java,Monolith,0.18451
S4:7,Java,Monolith,0.18462
S4:7,Java,Monolith,0.18452
S4:7,Java,Monolith,0.18467
S4:7,Java,Monolith,0.18475
S4:7,Java,Monolith,0.18456
S4:7,Java,Monolith,0.18477
S4:7,Java,Monolith,0.18513
S4:7,Java,Monolith,0.18531
S4:7,Java,Monolith,0.18572
S4:7,Java,Monolith,0.1864
S4:7,Java,Monolith,0.18672
S2:3.5,.NET,Monolith,0.06696
S2:3.5,.NET,Monolith,0.06679
S2:3.5,.NET,Monolith,0.06663
S2:3.5,.NET,Monolith,0.06744
S2:3.5,.NET,Monolith,0.06747
S2:3.5,.NET,Monolith,0.06766
S2:3.5,.NET,Monolith,0.06774
S2:3.5,.NET,Monolith,0.06825
S2:3.5,.NET,Monolith,0.06855
S2:3.5,.NET,Monolith,0.06883
S2:3.5,.NET,Monolith,0.06905
S2:3.5,.NET,Monolith,0.06927
S2:3.5,.NET,Monolith,0.06951
S2:3.5,.NET,Monolith,0.0697
S2:3.5,.NET,Monolith,0.0699
S2:3.5,.NET,Monolith,0.07013
S2:3.5,.NET,Monolith,0.07038
S2:3.5,.NET,Monolith,0.07062
S2:3.5,.NET,Monolith,0.07083
S2:3.5,.NET,Monolith,0.07102
S4:7,.NET,Monolith,0.13593
S4:7,.NET,Monolith,0.13598
S4:7,.NET,Monolith,0.13617
S4:7,.NET,Monolith,0.13622
S4:7,.NET,Monolith,0.13599
S4:7,.NET,Monolith,0.13605
S4:7,.NET,Monolith,0.13583
S4:7,.NET,Monolith,0.13574
S4:7,.NET,Monolith,0.13565
S4:7,.NET,Monolith,0.13593
S4:7,.NET,Monolith,0.13595
S4:7,.NET,Monolith,0.13622
S4:7,.NET,Monolith,0.13658
S4:7,.NET,Monolith,0.13697
S4:7,.NET,Monolith,0.13746
S4:7,.NET,Monolith,0.13762
S4:7,.NET,Monolith,0.13788
S4:7,.NET,Monolith,0.13819
S4:7,.NET,Monolith,0.13839
S4:7,.NET,Monolith,0.13888
B/S1:1.75,.NET,MSx1,0.03138
B/S1:1.75,.NET,MSx1,0.03132
B/S1:1.75,.NET,MSx1,0.03128
B/S1:1.75,.NET,MSx1,0.03125
B/S1:1.75,.NET,MSx1,0.03126
B/S1:1.75,.NET,MSx1,0.03116
B/S1:1.75,.NET,MSx1,0.03117
B/S1:1.75,.NET,MSx1,0.03118
B/S1:1.75,.NET,MSx1,0.03114
B/S1:1.75,.NET,MSx1,0.03105
B/S1:1.75,.NET,MSx1,0.03106
B/S1:1.75,.NET,MSx1,0.03105
B/S1:1.75,.NET,MSx1,0.03106
B/S1:1.75,.NET,MSx1,0.03107
B/S1:1.75,.NET,MSx1,0.03103
B/S1:1.75,.NET,MSx1,0.03105
B/S1:1.75,.NET,MSx1,0.03112
B/S1:1.75,.NET,MSx1,0.03119
B/S1:1.75,.NET,MSx1,0.03131
B/S1:1.75,.NET,MSx1,0.03142
B/S1:1.75,Java,MSx1,0.0286
B/S1:1.75,Java,MSx1,0.02861
B/S1:1.75,Java,MSx1,0.0286
B/S1:1.75,Java,MSx1,0.02862
B/S1:1.75,Java,MSx1,0.02849
B/S1:1.75,Java,MSx1,0.02848
B/S1:1.75,Java,MSx1,0.02849
B/S1:1.75,Java,MSx1,0.02849
B/S1:1.75,Java,MSx1,0.02851
B/S1:1.75,Java,MSx1,0.02851
B/S1:1.75,Java,MSx1,0.02851
B/S1:1.75,Java,MSx1,0.02851
B/S1:1.75,Java,MSx1,0.02852
B/S1:1.75,Java,MSx1,0.0285
B/S1:1.75,Java,MSx1,0.0285
B/S1:1.75,Java,MSx1,0.02851
B/S1:1.75,Java,MSx1,0.02855
B/S1:1.75,Java,MSx1,0.02863
B/S1:1.75,Java,MSx1,0.02873
B/S1:1.75,Java,MSx1,0.02887
S2:3.5,Java,MSx1,0.0862
S2:3.5,Java,MSx1,0.08604
S2:3.5,Java,MSx1,0.08601
S2:3.5,Java,MSx1,0.08583
S2:3.5,Java,MSx1,0.08576
S2:3.5,Java,MSx1,0.08571
S2:3.5,Java,MSx1,0.08563
S2:3.5,Java,MSx1,0.0856
S2:3.5,Java,MSx1,0.0856
S2:3.5,Java,MSx1,0.08557
S2:3.5,Java,MSx1,0.08544
S2:3.5,Java,MSx1,0.08528
S2:3.5,Java,MSx1,0.08541
S2:3.5,Java,MSx1,0.08574
S2:3.5,Java,MSx1,0.08593
S2:3.5,Java,MSx1,0.08616
S2:3.5,Java,MSx1,0.08642
S2:3.5,Java,MSx1,0.08671
S2:3.5,Java,MSx1,0.08706
S2:3.5,Java,MSx1,0.08751
S4:7,Java,MSx1,0.17677
S4:7,Java,MSx1,0.17746
S4:7,Java,MSx1,0.17762
S4:7,Java,MSx1,0.17773
S4:7,Java,MSx1,0.17752
S4:7,Java,MSx1,0.17744
S4:7,Java,MSx1,0.17706
S4:7,Java,MSx1,0.17689
S4:7,Java,MSx1,0.17665
S4:7,Java,MSx1,0.17654
S4:7,Java,MSx1,0.17627
S4:7,Java,MSx1,0.17621
S4:7,Java,MSx1,0.17614
S4:7,Java,MSx1,0.17574
S4:7,Java,MSx1,0.17545
S4:7,Java,MSx1,0.17546
S4:7,Java,MSx1,0.17567
S4:7,Java,MSx1,0.17567
S4:7,Java,MSx1,0.17597
S4:7,Java,MSx1,0.17643
S2:3.5,.NET,MSx1,0.07695
S2:3.5,.NET,MSx1,0.07703
S2:3.5,.NET,MSx1,0.07684
S2:3.5,.NET,MSx1,0.0768
S2:3.5,.NET,MSx1,0.07674
S2:3.5,.NET,MSx1,0.07644
S2:3.5,.NET,MSx1,0.07644
S2:3.5,.NET,MSx1,0.07631
S2:3.5,.NET,MSx1,0.07633
S2:3.5,.NET,MSx1,0.07646
S2:3.5,.NET,MSx1,0.07679
S2:3.5,.NET,MSx1,0.07673
S2:3.5,.NET,MSx1,0.07689
S2:3.5,.NET,MSx1,0.07706
S2:3.5,.NET,MSx1,0.07724
S2:3.5,.NET,MSx1,0.07736
S2:3.5,.NET,MSx1,0.07755
S2:3.5,.NET,MSx1,0.07785
S2:3.5,.NET,MSx1,0.07817
S2:3.5,.NET,MSx1,0.07847
S4:7,.NET,MSx1,0.13185
S4:7,.NET,MSx1,0.13194
S4:7,.NET,MSx1,0.13201
S4:7,.NET,MSx1,0.13214
S4:7,.NET,MSx1,0.13169
S4:7,.NET,MSx1,0.13129
S4:7,.NET,MSx1,0.13119
S4:7,.NET,MSx1,0.13079
S4:7,.NET,MSx1,0.13085
S4:7,.NET,MSx1,0.13112
S4:7,.NET,MSx1,0.13073
S4:7,.NET,MSx1,0.13074
S4:7,.NET,MSx1,0.13087
S4:7,.NET,MSx1,0.13095
S4:7,.NET,MSx1,0.13128
S4:7,.NET,MSx1,0.13169
S4:7,.NET,MSx1,0.13186
S4:7,.NET,MSx1,0.13216
S4:7,.NET,MSx1,0.13245
S4:7,.NET,MSx1,0.13243
B/S1:1.75,.NET,MSx3,0.07013
B/S1:1.75,.NET,MSx3,0.07008
B/S1:1.75,.NET,MSx3,0.06988
B/S1:1.75,.NET,MSx3,0.06952
B/S1:1.75,.NET,MSx3,0.06996
B/S1:1.75,.NET,MSx3,0.07005
B/S1:1.75,.NET,MSx3,0.07006
B/S1:1.75,.NET,MSx3,0.06982
B/S1:1.75,.NET,MSx3,0.06986
B/S1:1.75,.NET,MSx3,0.06957
B/S1:1.75,.NET,MSx3,0.06997
B/S1:1.75,.NET,MSx3,0.06969
B/S1:1.75,.NET,MSx3,0.06968
B/S1:1.75,.NET,MSx3,0.07007
B/S1:1.75,.NET,MSx3,0.07035
B/S1:1.75,.NET,MSx3,0.07048
B/S1:1.75,.NET,MSx3,0.07057
B/S1:1.75,.NET,MSx3,0.07067
B/S1:1.75,.NET,MSx3,0.07087
B/S1:1.75,.NET,MSx3,0.07095
B/S1:1.75,Java,MSx3,0.06889
B/S1:1.75,Java,MSx3,0.06911
B/S1:1.75,Java,MSx3,0.06989
B/S1:1.75,Java,MSx3,0.07075
B/S1:1.75,Java,MSx3,0.07079
B/S1:1.75,Java,MSx3,0.0708
B/S1:1.75,Java,MSx3,0.07069
B/S1:1.75,Java,MSx3,0.07078
B/S1:1.75,Java,MSx3,0.07087
