Typ,Technologia,SpecGroup,Architektura,Spec,cost,throughput,perfDiff,costDiff
City,.NET,B/S1:1.75,Mikroserwisy,MSx3,6,3.62275,0.400743843,150
City,.NET,B/S1:1.75,Mikroserwisy,MSx6,15,3.62879,0.166724174,150
City,.NET,B/S1:1.75,Mikroserwisy,MSx10,24.6,3.78401,4.277458877,64
City,.NET,S2:3.5,Mikroserwisy,MSx3,15,3.82884,3.55100959,177.7777778
City,.NET,S2:3.5,Mikroserwisy,MSx6,29.4,3.825685,-0.082400936,96
City,.NET,S2:3.5,Mikroserwisy,MSx10,48.6,3.809635,-0.419532711,65.30612245
City,.NET,S4:7,Mikroserwisy,MSx3,29.4,3.891125,3.889385788,188.2352941
City,.NET,S4:7,Mikroserwisy,MSx6,58.2,3.89772,0.169488259,97.95918367
City,.NET,S4:7,Mikroserwisy,MSx10,96.6,3.8099,-2.253112076,65.97938144
City,.NET,P4:14,Mikroserwisy,MSx3,58.2,3.590215,1.437844787,193.9393939
City,.NET,P4:14,Mikroserwisy,MSx6,115.8,3.658665,1.906571055,98.96907216
City,.NET,P4:14,Mikroserwisy,MSx10,192.6,3.67709,0.50359899,66.32124352
City,.NET,P4:14,Mikroserwisy,MSx15,288.6,3.68477,0.208860811,49.84423676
City,.NET,P4:14,Mikroserwisy,MSx20,384.6,3.73468,1.35449431,33.26403326
City,Java,B/S1:1.75,Mikroserwisy,MSx3,6,3.269815,9.059814521,150
City,Java,B/S1:1.75,Mikroserwisy,MSx6,15,3.317675,1.463691371,150
City,Java,B/S1:1.75,Mikroserwisy,MSx10,24.6,3.313735,-0.118757865,64
City,Java,S2:3.5,Mikroserwisy,MSx3,15,3.774435,4.023343301,177.7777778
City,Java,S2:3.5,Mikroserwisy,MSx6,29.4,3.74104,-0.884768184,96
City,Java,S2:3.5,Mikroserwisy,MSx10,48.6,3.628085,-3.019347561,65.30612245
City,Java,S4:7,Mikroserwisy,MSx3,29.4,3.81562,3.663917234,188.2352941
City,Java,S4:7,Mikroserwisy,MSx6,58.2,3.822515,0.180704577,97.95918367
City,Java,S4:7,Mikroserwisy,MSx10,96.6,3.806025,-0.431391375,65.97938144
City,Java,P4:14,Mikroserwisy,MSx3,58.2,3.6872,8.116667009,193.9393939
City,Java,P4:14,Mikroserwisy,MSx6,115.8,3.70991,0.615914515,98.96907216
City,Java,P4:14,Mikroserwisy,MSx10,192.6,3.70334,-0.177093245,66.32124352
City,Java,P4:14,Mikroserwisy,MSx15,288.6,3.74121,1.022590418,49.84423676
City,Java,P4:14,Mikroserwisy,MSx20,384.6,3.757555,0.436890739,33.26403326
