Typ,Technologia,SpecGroup,Architektura,Spec,cost,throughput,perfDiff,costDiff
Route,.NET,B/S1:1.75,Mikroserwisy,MSx3,6,0.070055,124.7874218,150
Route,.NET,B/S1:1.75,Mikroserwisy,MSx6,15,0.117665,67.96088787,150
Route,.NET,B/S1:1.75,Mikroserwisy,MSx10,24.6,0.142055,20.72833893,64
Route,.NET,S2:3.5,Mikroserwisy,MSx3,15,0.17085,122.272816,177.7777778
Route,.NET,S2:3.5,Mikroserwisy,MSx6,29.4,0.2425,41.93737196,96
Route,.NET,S2:3.5,Mikroserwisy,MSx10,48.6,0.260135,7.272164948,65.30612245
Route,.NET,S4:7,Mikroserwisy,MSx3,29.4,0.234795,78.56490988,188.2352941
Route,.NET,S4:7,Mikroserwisy,MSx6,58.2,0.241785,2.977065099,97.95918367
Route,.NET,S4:7,Mikroserwisy,MSx10,96.6,0.26944,11.43784767,65.97938144
Route,.NET,P4:14,Mikroserwisy,MSx3,58.2,0.377505,18.78884186,193.9393939
Route,.NET,P4:14,Mikroserwisy,MSx6,115.8,0.380875,0.892703408,98.96907216
Route,.NET,P4:14,Mikroserwisy,MSx10,192.6,0.38423,0.880866426,66.32124352
Route,.NET,P4:14,Mikroserwisy,MSx15,288.6,0.40161,4.523332379,49.84423676
Route,.NET,P4:14,Mikroserwisy,MSx20,384.6,0.40098,-0.156868604,33.26403326
Route,Java,B/S1:1.75,Mikroserwisy,MSx3,6,0.070765,148.211154,150
Route,Java,B/S1:1.75,Mikroserwisy,MSx6,15,0.14357,102.882781,150
Route,Java,B/S1:1.75,Mikroserwisy,MSx10,24.6,0.172335,20.03552274,64
Route,Java,S2:3.5,Mikroserwisy,MSx3,15,0.18716,118.1479107,177.7777778
Route,Java,S2:3.5,Mikroserwisy,MSx6,29.4,0.264275,41.20271426,96
Route,Java,S2:3.5,Mikroserwisy,MSx10,48.6,0.290245,9.826884874,65.30612245
Route,Java,S4:7,Mikroserwisy,MSx3,29.4,0.25539,44.70918208,188.2352941
Route,Java,S4:7,Mikroserwisy,MSx6,58.2,0.285305,11.71345785,97.95918367
Route,Java,S4:7,Mikroserwisy,MSx10,96.6,0.295155,3.452445628,65.97938144
Route,Java,P4:14,Mikroserwisy,MSx3,58.2,0.46307,19.02430248,193.9393939
Route,Java,P4:14,Mikroserwisy,MSx6,115.8,0.513125,10.80938087,98.96907216
Route,Java,P4:14,Mikroserwisy,MSx10,192.6,0.52378,2.076492083,66.32124352
Route,Java,P4:14,Mikroserwisy,MSx15,288.6,0.51112,-2.417045324,49.84423676
Route,Java,P4:14,Mikroserwisy,MSx20,384.6,0.47077,-7.894427923,33.26403326
