Type,Technology,SpecGroup,Architecture,Spec,Cost,Throughput,perfDiff,costDiff
City,.NET,B/S1:1.75,Microservices,MSx3,6,3.62275,0.400743843,150
City,.NET,B/S1:1.75,Microservices,MSx6,15,3.62879,0.166724174,150
City,.NET,B/S1:1.75,Microservices,MSx10,24.6,3.78401,4.277458877,64
City,.NET,S2:3.5,Microservices,MSx3,15,3.82884,3.55100959,177.7777778
City,.NET,S2:3.5,Microservices,MSx6,29.4,3.825685,-0.082400936,96
City,.NET,S2:3.5,Microservices,MSx10,48.6,3.809635,-0.419532711,65.30612245
City,.NET,S4:7,Microservices,MSx3,29.4,3.891125,3.889385788,188.2352941
City,.NET,S4:7,Microservices,MSx6,58.2,3.89772,0.169488259,97.95918367
City,.NET,S4:7,Microservices,MSx10,96.6,3.8099,-2.253112076,65.97938144
City,.NET,P4:14,Microservices,MSx3,58.2,3.590215,1.437844787,193.9393939
City,.NET,P4:14,Microservices,MSx6,115.8,3.658665,1.906571055,98.96907216
City,.NET,P4:14,Microservices,MSx10,192.6,3.67709,0.50359899,66.32124352
City,.NET,P4:14,Microservices,MSx15,288.6,3.68477,0.208860811,49.84423676
City,.NET,P4:14,Microservices,MSx20,384.6,3.73468,1.35449431,33.26403326
City,Java,B/S1:1.75,Microservices,MSx3,6,3.269815,9.059814521,150
City,Java,B/S1:1.75,Microservices,MSx6,15,3.317675,1.463691371,150
City,Java,B/S1:1.75,Microservices,MSx10,24.6,3.313735,-0.118757865,64
City,Java,S2:3.5,Microservices,MSx3,15,3.774435,4.023343301,177.7777778
City,Java,S2:3.5,Microservices,MSx6,29.4,3.74104,-0.884768184,96
City,Java,S2:3.5,Microservices,MSx10,48.6,3.628085,-3.019347561,65.30612245
City,Java,S4:7,Microservices,MSx3,29.4,3.81562,3.663917234,188.2352941
City,Java,S4:7,Microservices,MSx6,58.2,3.822515,0.180704577,97.95918367
City,Java,S4:7,Microservices,MSx10,96.6,3.806025,-0.431391375,65.97938144
City,Java,P4:14,Microservices,MSx3,58.2,3.6872,8.116667009,193.9393939
City,Java,P4:14,Microservices,MSx6,115.8,3.70991,0.615914515,98.96907216
City,Java,P4:14,Microservices,MSx10,192.6,3.70334,-0.177093245,66.32124352
City,Java,P4:14,Microservices,MSx15,288.6,3.74121,1.022590418,49.84423676
City,Java,P4:14,Microservices,MSx20,384.6,3.757555,0.436890739,33.26403326
Route,.NET,B/S1:1.75,Microservices,MSx3,6,0.070055,124.7874218,150
Route,.NET,B/S1:1.75,Microservices,MSx6,15,0.117665,67.96088787,150
Route,.NET,B/S1:1.75,Microservices,MSx10,24.6,0.142055,20.72833893,64
Route,.NET,S2:3.5,Microservices,MSx3,15,0.17085,122.272816,177.7777778
Route,.NET,S2:3.5,Microservices,MSx6,29.4,0.2425,41.93737196,96
Route,.NET,S2:3.5,Microservices,MSx10,48.6,0.260135,7.272164948,65.30612245
Route,.NET,S4:7,Microservices,MSx3,29.4,0.234795,78.56490988,188.2352941
Route,.NET,S4:7,Microservices,MSx6,58.2,0.241785,2.977065099,97.95918367
Route,.NET,S4:7,Microservices,MSx10,96.6,0.26944,11.43784767,65.97938144
Route,.NET,P4:14,Microservices,MSx3,58.2,0.377505,18.78884186,193.9393939
Route,.NET,P4:14,Microservices,MSx6,115.8,0.380875,0.892703408,98.96907216
Route,.NET,P4:14,Microservices,MSx10,192.6,0.38423,0.880866426,66.32124352
Route,.NET,P4:14,Microservices,MSx15,288.6,0.40161,4.523332379,49.84423676
Route,.NET,P4:14,Microservices,MSx20,384.6,0.40098,-0.156868604,33.26403326
Route,Java,B/S1:1.75,Microservices,MSx3,6,0.070765,148.211154,150
Route,Java,B/S1:1.75,Microservices,MSx6,15,0.14357,102.882781,150
Route,Java,B/S1:1.75,Microservices,MSx10,24.6,0.172335,20.03552274,64
Route,Java,S2:3.5,Microservices,MSx3,15,0.18716,118.1479107,177.7777778
Route,Java,S2:3.5,Microservices,MSx6,29.4,0.264275,41.20271426,96
Route,Java,S2:3.5,Microservices,MSx10,48.6,0.290245,9.826884874,65.30612245
Route,Java,S4:7,Microservices,MSx3,29.4,0.25539,44.70918208,188.2352941
Route,Java,S4:7,Microservices,MSx6,58.2,0.285305,11.71345785,97.95918367
Route,Java,S4:7,Microservices,MSx10,96.6,0.295155,3.452445628,65.97938144
Route,Java,P4:14,Microservices,MSx3,58.2,0.46307,19.02430248,193.9393939
Route,Java,P4:14,Microservices,MSx6,115.8,0.513125,10.80938087,98.96907216
Route,Java,P4:14,Microservices,MSx10,192.6,0.52378,2.076492083,66.32124352
Route,Java,P4:14,Microservices,MSx15,288.6,0.51112,-2.417045324,49.84423676
Route,Java,P4:14,Microservices,MSx20,384.6,0.47077,-7.894427923,33.26403326
