Typ,Technologia,SpecGroup,Architektura,Spec,cost,throughput,perfDiff,costDiff
City,.NET,S2:3.5,Mikroserwisy,MSx1,5.4,3.69754,2.473470813,125
City,.NET,S2:3.5,Mikroserwisy,MSx3,15,3.82884,5.688772341,150
City,.NET,S2:3.5,Mikroserwisy,MSx6,29.4,3.825685,5.425913321,96
City,.NET,S2:3.5,Mikroserwisy,MSx10,48.6,3.809635,0.677191656,97.56097561
City,.NET,S4:7,Mikroserwisy,MSx1,10.2,3.74545,1.295726348,88.88888889
City,.NET,S4:7,Mikroserwisy,MSx3,29.4,3.891125,1.626732901,96
City,.NET,S4:7,Mikroserwisy,MSx6,58.2,3.89772,1.882930769,97.95918367
City,.NET,S4:7,Mikroserwisy,MSx10,96.6,3.8099,0.006956047,98.7654321
City,.NET,P4:14,Mikroserwisy,MSx1,19.8,3.539325,-5.503344057,94.11764706
City,.NET,P4:14,Mikroserwisy,MSx3,58.2,3.590215,-7.733239102,97.95918367
City,.NET,P4:14,Mikroserwisy,MSx6,115.8,3.658665,-6.133200948,98.96907216
City,.NET,P4:14,Mikroserwisy,MSx10,192.6,3.67709,-3.485918266,99.37888199
City,Java,S2:3.5,Mikroserwisy,MSx1,5.4,3.62845,21.02155137,125
City,Java,S2:3.5,Mikroserwisy,MSx3,15,3.774435,15.43267738,150
City,Java,S2:3.5,Mikroserwisy,MSx6,29.4,3.74104,12.7608943,96
City,Java,S2:3.5,Mikroserwisy,MSx10,48.6,3.628085,9.486274551,97.56097561
City,Java,S4:7,Mikroserwisy,MSx1,10.2,3.68076,1.441662418,88.88888889
City,Java,S4:7,Mikroserwisy,MSx3,29.4,3.81562,1.09115669,96
City,Java,S4:7,Mikroserwisy,MSx6,58.2,3.822515,2.177870325,97.95918367
City,Java,S4:7,Mikroserwisy,MSx10,96.6,3.806025,4.904515743,98.7654321
City,Java,P4:14,Mikroserwisy,MSx1,19.8,3.41039,-7.345493865,94.11764706
City,Java,P4:14,Mikroserwisy,MSx3,58.2,3.6872,-3.365639136,97.95918367
City,Java,P4:14,Mikroserwisy,MSx6,115.8,3.70991,-2.945835399,98.96907216
City,Java,P4:14,Mikroserwisy,MSx10,192.6,3.70334,-2.697959157,99.37888199
City,Java,S2:3.5,Monolit,Monolit,4.8,3.632405,24.14489019,166.6666667
City,Java,S4:7,Monolit,Monolit,9.6,3.66192,0.812547059,100
City,Java,P4:14,Monolit,Monolit,19.2,3.50244,-4.355092411,100
City,.NET,S2:3.5,Monolit,Monolit,4.8,3.69218,3.823014573,166.6666667
City,.NET,S4:7,Monolit,Monolit,9.6,3.754275,1.681797746,100
City,.NET,P4:14,Monolit,Monolit,19.2,3.53869,-5.742387012,100
