Typ,Technologia,SpecGroup,Architektura,Spec,cost,throughput,perfDiff,costDiff
Route,.NET,S2:3.5,Mikroserwisy,MSx1,5.4,0.076865,146.6388577,125
Route,.NET,S2:3.5,Mikroserwisy,MSx3,15,0.17085,143.8798087,150
Route,.NET,S2:3.5,Mikroserwisy,MSx6,29.4,0.2425,106.0935707,96
Route,.NET,S2:3.5,Mikroserwisy,MSx10,48.6,0.260135,83.12273415,97.56097561
Route,.NET,S4:7,Mikroserwisy,MSx1,10.2,0.13149,71.06615495,88.88888889
Route,.NET,S4:7,Mikroserwisy,MSx3,29.4,0.234795,37.42756804,96
Route,.NET,S4:7,Mikroserwisy,MSx6,58.2,0.241785,-0.294845361,97.95918367
Route,.NET,S4:7,Mikroserwisy,MSx10,96.6,0.26944,3.576988871,98.7654321
Route,.NET,P4:14,Mikroserwisy,MSx1,19.8,0.317795,141.6875808,94.11764706
Route,.NET,P4:14,Mikroserwisy,MSx3,58.2,0.377505,60.78068102,97.95918367
Route,.NET,P4:14,Mikroserwisy,MSx6,115.8,0.380875,57.5263147,98.96907216
Route,.NET,P4:14,Mikroserwisy,MSx10,192.6,0.38423,42.60317696,99.37888199
Route,Java,S2:3.5,Mikroserwisy,MSx1,5.4,0.085795,200.9294984,125
Route,Java,S2:3.5,Mikroserwisy,MSx3,15,0.18716,164.4810288,150
Route,Java,S2:3.5,Mikroserwisy,MSx6,29.4,0.264275,84.07397089,96
Route,Java,S2:3.5,Mikroserwisy,MSx10,48.6,0.290245,68.41906751,97.56097561
Route,Java,S4:7,Mikroserwisy,MSx1,10.2,0.176485,105.7054607,88.88888889
Route,Java,S4:7,Mikroserwisy,MSx3,29.4,0.25539,36.4554392,96
Route,Java,S4:7,Mikroserwisy,MSx6,58.2,0.285305,7.957619904,97.95918367
Route,Java,S4:7,Mikroserwisy,MSx10,96.6,0.295155,1.691674275,98.7654321
Route,Java,P4:14,Mikroserwisy,MSx1,19.8,0.389055,120.4464969,94.11764706
Route,Java,P4:14,Mikroserwisy,MSx3,58.2,0.46307,81.31876738,97.95918367
Route,Java,P4:14,Mikroserwisy,MSx6,115.8,0.513125,79.85138711,98.96907216
Route,Java,P4:14,Mikroserwisy,MSx10,192.6,0.52378,77.45930105,99.37888199
Route,Java,S2:3.5,Monolit,Monolit,4.8,0.073255,45.85365854,166.6666667
Route,Java,S4:7,Monolit,Monolit,9.6,0.18454,151.9145451,100
Route,Java,P4:14,Monolit,Monolit,19.2,0.386555,109.4694917,100
Route,.NET,S2:3.5,Monolit,Monolit,4.8,0.06894,105.5456172,166.6666667
Route,.NET,S4:7,Monolit,Monolit,9.6,0.136195,97.55584566,100
Route,.NET,P4:14,Monolit,Monolit,19.2,0.321815,136.2898785,100
