Spec,variable,value
1 CPU 1GB RAM,Monolith,11.01358
1 CPU 1GB RAM,Monolith,11.08488
1 CPU 1GB RAM,Monolith,11.08672
1 CPU 1GB RAM,Monolith,11.07923
1 CPU 1GB RAM,Monolith,11.07984
1 CPU 1GB RAM,Monolith,11.07236
1 CPU 1GB RAM,Monolith,11.06464
1 CPU 1GB RAM,Monolith,11.06293
1 CPU 1GB RAM,Monolith,11.05534
1 CPU 1GB RAM,Monolith,11.04826
1 CPU 1GB RAM,Monolith,11.04045
1 CPU 1GB RAM,Monolith,11.0329
1 CPU 1GB RAM,Monolith,11.0256
1 CPU 1GB RAM,Monolith,11.01795
1 CPU 1GB RAM,Monolith,11.0137
1 CPU 1GB RAM,Monolith,11.00631
1 CPU 1GB RAM,Monolith,10.99832
1 CPU 1GB RAM,Monolith,10.99119
1 CPU 1GB RAM,Monolith,10.98334
1 CPU 1GB RAM,Monolith,10.97755
3 CPU 3GB RAM,Monolith,11.53517
3 CPU 3GB RAM,Monolith,11.60628
3 CPU 3GB RAM,Monolith,11.60628
3 CPU 3GB RAM,Monolith,11.60589
3 CPU 3GB RAM,Monolith,11.60563
3 CPU 3GB RAM,Monolith,11.60524
3 CPU 3GB RAM,Monolith,11.60134
3 CPU 3GB RAM,Monolith,11.60069
3 CPU 3GB RAM,Monolith,11.60004
3 CPU 3GB RAM,Monolith,11.59952
3 CPU 3GB RAM,Monolith,11.62925
3 CPU 3GB RAM,Monolith,11.61504
3 CPU 3GB RAM,Monolith,11.61564
3 CPU 3GB RAM,Monolith,11.61564
3 CPU 3GB RAM,Monolith,11.61601
3 CPU 3GB RAM,Monolith,11.61625
3 CPU 3GB RAM,Monolith,11.61698
3 CPU 3GB RAM,Monolith,11.61649
3 CPU 3GB RAM,Monolith,11.61661
3 CPU 3GB RAM,Monolith,11.50916
4 CPU 6GB RAM,Monolith,11.58441
4 CPU 6GB RAM,Monolith,11.62088
4 CPU 6GB RAM,Monolith,11.63848
4 CPU 6GB RAM,Monolith,11.63034
4 CPU 6GB RAM,Monolith,11.63591
4 CPU 6GB RAM,Monolith,11.63658
4 CPU 6GB RAM,Monolith,11.63699
4 CPU 6GB RAM,Monolith,11.63322
4 CPU 6GB RAM,Monolith,11.63402
4 CPU 6GB RAM,Monolith,11.63985
4 CPU 6GB RAM,Monolith,11.63039
4 CPU 6GB RAM,Monolith,11.64703
4 CPU 6GB RAM,Monolith,11.63743
4 CPU 6GB RAM,Monolith,11.63393
4 CPU 6GB RAM,Monolith,11.64353
4 CPU 6GB RAM,Monolith,11.63044
4 CPU 6GB RAM,Monolith,11.64044
4 CPU 6GB RAM,Monolith,11.64414
4 CPU 6GB RAM,Monolith,11.64453
4 CPU 6GB RAM,Monolith,11.64453
1 CPU 1GB RAM,MSx1,10.4723
1 CPU 1GB RAM,MSx1,10.5353
