Tech,Monolit,Mikroserwisy HTTP,Mikroserwisy RPC
.NET,859.84523,502.00803,396.19651
.NET,957.85441,510.20408,461.25461
.NET,962.46391,510.46452,461.89376
.NET,963.39114,510.72523,462.32085
.NET,964.32015,510.9862,462.32085
.NET,965.25097,510.9862,462.53469
.NET,965.25097,511.24744,462.74873
.NET,966.18357,511.50895,462.74873
.NET,966.18357,511.50895,463.1774
.NET,967.11799,511.77073,460.82949
.NET,967.11799,511.77073,459.77011
.NET,968.05421,512.03277,458.92611
.NET,968.99225,512.29508,457.6659
.NET,969.9321,512.82051,453.30916
.NET,969.9321,513.08363,453.10376
.NET,969.9321,513.08363,447.22719
.NET,970.87379,513.61068,440.91711
.NET,970.87379,513.34702,435.91979
.NET,970.87379,513.61068,430.2926
.NET,972.76265,513.87461,422.11904
Java,447.02727,326.58393,182.44846
Java,453.10376,329.70656,184.39978
Java,453.51474,329.16392,189.68134
Java,453.51474,329.16392,190.0057
Java,453.72051,329.16392,190.36741
Java,453.92646,329.38076,190.5851
Java,454.33894,329.48929,190.83969
Java,454.33894,329.48929,191.09497
Java,454.54545,329.59789,191.38756
Java,454.95905,329.8153,191.60759
Java,455.16614,329.92412,191.75455
Java,455.16614,329.92412,191.97543
Java,451.46727,329.92412,192.19681
Java,451.67118,330.14196,192.4187
Java,451.67118,330.14196,192.64111
Java,451.87528,330.14196,192.82684
Java,451.87528,330.14196,193.01293
Java,445.6328,330.14196,193.31142
Java,445.83148,330.14196,193.49845
Java,445.83148,330.14196,193.72336
